Date0 ut0 Date1 ut1
20110726 20.572 20110726 21.68
20110727 8.574 20110727 9.788
20110727 20.651 20110727 21.629
20110728 8.63 20110728 9.658
20110728 20.633 20110728 21.606
20110729 8.626 20110729 9.625
20110729 20.638 20110729 21.638
20110730 8.547 20110730 9.64
20110730 20.576 20110730 21.528
20110731 8.63 20110731 9.599
20110731 20.454 20110731 21.567
20110801 8.395 20110801 9.524
20110801 20.522 20110801 21.513
20110802 8.53 20110802 9.553
20110802 20.718 20110802 21.472
20110803 8.63 20110803 9.507
20110803 20.575 20110803 21.489
20110804 8.592 20110804 9.431
20110804 20.458 20110804 21.44
20110805 8.52 20110805 9.489
20110805 20.474 20110805 21.551
20110806 8.552 20110806 9.494
20110806 20.516 20110806 21.555
20110807 8.523 20110807 9.516
20110807 20.105 20110807 21.541
20110808 8.225 20110808 9.523
20110808 20.222 20110808 21.539
20110809 8.19 20110809 9.515
20110809 20.258 20110809 21.493
20110810 8.143 20110810 9.389
20110810 19.806 20110810 21.434
20110811 8.471 20110811 9.454
20110811 20.336 20110811 21.452
20110812 8.194 20110812 9.443
20110812 20.108 20110812 21.411
20110813 8.293 20110813 9.326
20110813 20.404 20110813 21.39
20110814 8.281 20110814 9.456
20110814 20.011 20110814 21.432
20110815 8.379 20110815 9.422
20110815 19.989 20110815 21.41
20110816 7.898 20110816 9.375
20110816 19.849 20110816 21.39
20110817 7.667 20110817 9.425
20110817 19.292 20110817 21.426
20110818 7.799 20110818 9.415
20110818 19.69 20110818 21.379
20110819 7.805 20110819 9.421
20110819 19.122 20110819 21.448
20110820 7.403 20110820 9.387
20110820 19.392 20110820 21.405
20110821 7.605 20110821 9.384
20110821 19.485 20110821 21.416
20110822 7.781 20110822 9.379
20110822 19.387 20110822 21.401
20110823 7.158 20110823 9.388
20110823 19.205 20110823 21.394
20110824 7.171 20110824 9.391
20110824 19.063 20110824 21.379
20110825 7.061 20110825 9.403
20110825 18.904 20110825 21.411
20110826 7.204 20110826 9.363
20110826 19.276 20110826 21.41
20110827 7.121 20110827 9.417
20110827 19.391 20110827 21.435
20110828 7.226 20110828 9.326
20110828 19.363 20110828 21.392
20110829 7.666 20110829 9.339
20110829 19.613 20110829 21.35
20110830 7.188 20110830 9.389
20110830 19.5 20110830 21.364
20110831 7.633 20110831 9.401
20110831 19.388 20110831 21.427
20110901 7.906 20110901 9.471
20110901 19.823 20110901 21.424
20110902 8.029 20110902 9.408
20110902 19.457 20110902 21.396
20110903 8.068 20110903 9.361
20110903 20.27 20110903 21.436
20110904 8.021 20110904 9.487
20110904 20.426 20110904 21.435
20110905 8.508 20110905 9.453
20110905 20.496 20110905 21.429
20110906 8.606 20110906 9.438
20110906 20.577 20110906 21.506
20110907 8.673 20110907 9.446
20110907 20.561 20110907 21.292
20110908 8.308 20110908 9.157
20110908 20.073 20110908 20.903
20110909 7.859 20110909 8.738
20110909 19.702 20110909 20.365
20110910 7.352 20110910 8.203
20110910 19.204 20110910 19.951
20110911 6.986 20110911 7.695
20110911 18.756 20110911 19.333
20110912 6.512 20110912 7.292
20110912 18.236 20110912 19.085
20110913 6.047 20110913 6.772
20110913 17.82 20110913 18.477
20110914 5.589 20110914 6.433
20110914 17.404 20110914 18.211
20110915 5.138 20110915 5.987
20110915 16.833 20110915 17.794
20110916 4.695 20110916 5.612
20110916 16.388 20110916 17.236
20110917 4.12 20110917 5.174
20110917 15.912 20110917 16.84
20110918 3.731 20110918 4.724
20110918 15.546 20110918 16.409
20110919 3.269 20110919 4.194
20110919 15.054 20110919 16.039
20110920 2.795 20110920 3.828
20110920 14.633 20110920 15.47
20110921 2.376 20110921 3.343
20110921 14.15 20110921 15.212
20110922 1.873 20110922 2.846
20110922 13.814 20110922 14.642
20110923 1.267 20110923 2.554
20110923 13.206 20110923 14.271
20110924 0.846 20110924 2.202
20110924 12.676 20110924 13.814
20110925 0.394 20110925 1.667
20110925 12.15 20110925 13.402
20110925 23.924 20110926 1.124
20110926 11.667 20110926 12.982
20110926 23.476 20110927 0.784
20110927 11.235 20110927 12.397
20110927 23.052 20110928 0.312
20110928 10.749 20110928 11.996
20110928 22.507 20110928 23.811
20110929 10.238 20110929 11.652
20110929 22.083 20110929 23.264
20110930 9.789 20110930 11.072
20110930 21.556 20110930 22.836
20111001 9.294 20111001 10.639
20111001 21.11 20111001 22.496
20111002 8.858 20111002 10.059
20111002 20.716 20111002 21.798
20111003 8.371 20111003 9.613
20111003 20.107 20111003 21.55
20111004 7.881 20111004 9.129
20111004 19.6 20111004 20.954
20111005 7.607 20111005 8.473
20111005 19.25 20111005 20.455
20111006 6.893 20111006 8.33
20111006 18.674 20111006 19.946
20111007 6.273 20111007 7.908
20111007 18.07 20111007 19.522
20111008 5.85 20111008 7.318
20111008 17.616 20111008 18.947
20111009 5.531 20111009 6.612
20111009 17.293 20111009 18.547
20111010 5.021 20111010 6.238
20111010 16.85 20111010 18.017
20111011 4.528 20111011 5.708
20111011 16.255 20111011 17.601
20111012 4.086 20111012 5.332
20111012 15.936 20111012 16.849
20111013 3.616 20111013 4.742
20111013 15.399 20111013 16.448
20111014 3.17 20111014 4.17
20111014 14.93 20111014 15.875
20111015 2.689 20111015 3.67
20111015 14.673 20111015 15.104
20111016 2.263 20111016 3.448
20111016 13.899 20111016 14.982
20111017 1.481 20111017 2.94
20111017 13.402 20111017 14.449
20111018 1.133 20111018 2.114
20111018 12.872 20111018 13.981
20111019 0.675 20111019 1.74
20111019 12.441 20111019 13.546
20111020 0.145 20111020 1.225
20111020 11.924 20111020 12.847
20111020 23.746 20111021 0.666
20111021 11.451 20111021 12.37
20111021 23.288 20111022 0.225
20111022 11.017 20111022 11.961
20111022 22.709 20111022 23.778
20111023 10.484 20111023 11.616
20111023 22.271 20111023 23.248
20111024 9.97 20111024 11.002
20111024 21.79 20111024 22.732
20111025 9.667 20111025 10.759
20111025 21.8 20111025 22.631
20111026 9.774 20111026 10.629
20111026 21.799 20111026 22.684
20111027 9.858 20111027 10.671
20111027 21.685 20111027 22.615
20111028 9.746 20111028 10.66
20111028 21.677 20111028 22.7
20111029 9.339 20111029 10.744
20111029 21.504 20111029 22.65
20111030 9.625 20111030 10.65
20111030 21.476 20111030 22.7
20111031 9.75 20111031 10.6
20111031 21.296 20111031 22.712
20111101 9.551 20111101 10.57
20111101 21.471 20111101 22.604
20111102 9.581 20111102 10.652
20111102 21.603 20111102 22.587
20111103 9.366 20111103 10.787
20111103 21.45 20111103 22.631
20111104 9.406 20111104 10.578
20111104 21.78 20111104 22.465
20111105 9.594 20111105 10.491
20111105 21.387 20111105 22.643
20111106 9.368 20111106 10.595
20111106 21.443 20111106 22.603
20111107 9.227 20111107 10.555
20111107 21.167 20111107 22.561
20111108 8.833 20111108 10.536
20111108 20.963 20111108 22.517
20111109 9.289 20111109 10.516
20111109 21.04 20111109 22.585
20111110 9.086 20111110 10.536
20111110 21.318 20111110 22.462
20111111 9.309 20111111 10.443
20111111 20.847 20111111 22.492
20111112 8.621 20111112 10.594
20111112 21.09 20111112 22.556
20111113 8.547 20111113 10.499
20111113 20.726 20111113 22.507
20111114 9.43 20111114 10.394
20111114 20.411 20111114 22.522
20111115 8.963 20111115 10.486
20111115 20.378 20111115 22.527
20111116 8.583 20111116 10.487
20111116 20.434 20111116 22.471
20111117 8.448 20111117 10.533
20111117 20.599 20111117 22.434
20111118 8.889 20111118 10.437
20111118 20.369 20111118 22.499
20111119 8.46 20111119 10.372
20111119 20.433 20111119 22.488
20111120 8.523 20111120 10.447
20111120 20.345 20111120 22.506
20111121 8.499 20111121 10.496
20111121 20.5 20111121 22.509
20111122 8.469 20111122 10.508
20111122 20.258 20111122 22.385
20111123 8.689 20111123 10.346
20111123 20.592 20111123 22.424
20111124 8.334 20111124 10.454
20111124 20.296 20111124 22.453
20111125 8.484 20111125 10.467
20111125 20.359 20111125 22.433
20111126 8.636 20111126 10.422
20111126 20.941 20111126 22.414
20111127 8.454 20111127 10.441
20111127 20.736 20111127 22.464
20111128 9.382 20111128 10.57
20111128 20.75 20111128 22.492
20111129 9.015 20111129 10.495
20111129 21.37 20111129 22.453
20111130 9.365 20111130 10.396
20111130 21.37 20111130 22.438
20111201 9.203 20111201 10.502
20111201 21.527 20111201 22.489
20111202 9.423 20111202 10.5
20111202 21.54 20111202 22.485
20111203 9.531 20111203 10.494
20111203 21.665 20111203 22.462
20111204 9.638 20111204 10.424
20111204 21.779 20111204 22.549
20111205 9.677 20111205 10.534
20111205 21.615 20111205 22.42
20111206 9.357 20111206 10.18
20111206 21.169 20111206 22.141
20111207 8.986 20111207 9.812
20111207 20.83 20111207 21.618
20111208 8.609 20111208 9.422
20111208 20.394 20111208 21.162
20111209 8.21 20111209 8.983
20111209 20.013 20111209 20.769
20111210 7.809 20111210 8.602
20111210 19.582 20111210 20.288
20111211 7.387 20111211 8.114
20111211 19.141 20111211 19.962
20111212 6.95 20111212 7.807
20111212 18.69 20111212 19.76
20111213 6.551 20111213 7.371
20111213 18.283 20111213 19.271
20111214 6.152 20111214 7.053
20111214 17.877 20111214 18.99
20111215 5.691 20111215 6.864
20111215 17.507 20111215 18.59
20111216 5.286 20111216 6.459
20111216 17.207 20111216 18.071
20111217 4.924 20111217 5.839
20111217 16.694 20111217 17.726
20111218 4.448 20111218 5.461
20111218 16.227 20111218 17.354
20111219 4.034 20111219 5.222
20111219 15.81 20111219 17.043
20111220 3.599 20111220 4.89
20111220 15.318 20111220 16.682
20111221 3.159 20111221 4.351
20111221 14.931 20111221 16.214
20111222 2.736 20111222 3.996
20111222 14.465 20111222 15.765
20111223 2.35 20111223 3.555
20111223 14.139 20111223 15.396
20111224 1.897 20111224 3.143
20111224 13.747 20111224 15.007
20111225 1.418 20111225 2.789
20111225 13.276 20111225 14.625
20111226 1.052 20111226 2.316
20111226 12.697 20111226 14.452
20111227 0.48 20111227 1.849
20111227 12.396 20111227 13.825
20111228 0.142 20111228 1.465
20111228 11.996 20111228 13.246
20111228 23.801 20111229 1.046
20111229 11.515 20111229 12.887
20111229 23.334 20111230 0.715
20111230 11.109 20111230 12.44
20111230 22.961 20111231 0.288
20111231 10.791 20111231 11.964
20111231 22.464 20111231 23.777
20120101 10.212 20120101 11.652
20120101 21.99 20120101 23.326
20120102 9.868 20120102 11.07
20120102 21.686 20120102 22.877
20120103 9.4 20120103 10.465
20120103 21.285 20120103 22.228
20120104 8.992 20120104 10.046
20120104 20.774 20120104 21.952
20120105 8.747 20120105 9.754
20120105 20.337 20120105 21.445
20120106 8.106 20120106 9.236
20120106 19.915 20120106 21.069
20120107 7.632 20120107 8.96
20120107 19.387 20120107 20.763
20120108 7.158 20120108 8.461
20120108 18.988 20120108 20.184
20120109 6.796 20120109 7.933
20120109 18.605 20120109 19.87
20120110 6.3 20120110 7.577
20120110 18.051 20120110 19.479
20120111 5.855 20120111 7.231
20120111 17.61 20120111 19.074
20120112 5.36 20120112 6.675
20120112 17.31 20120112 18.435
20120113 5.006 20120113 6.019
20120113 16.86 20120113 17.876
20120114 4.616 20120114 5.634
20120114 16.38 20120114 17.487
20120115 4.116 20120115 5.259
20120115 15.986 20120115 16.992
20120116 3.691 20120116 4.763
20120116 15.461 20120116 16.568
20120117 3.278 20120117 4.353
20120117 15.092 20120117 16.145
20120118 2.854 20120118 3.773
20120118 14.653 20120118 15.706
20120119 2.396 20120119 3.48
20120119 14.183 20120119 15.259
20120120 2.01 20120120 2.928
20120120 13.741 20120120 14.908
20120121 1.489 20120121 2.61
20120121 13.303 20120121 14.341
20120122 1.083 20120122 2.103
20120122 12.965 20120122 13.824
20120123 0.657 20120123 1.597
20120123 12.441 20120123 13.388
20120124 0.379 20120124 1.116
20120124 12.001 20120124 12.894
20120124 23.876 20120125 0.718
20120125 11.599 20120125 12.493
20120125 23.391 20120126 0.301
20120126 11.227 20120126 12.07
20120126 22.901 20120126 23.851
20120127 10.634 20120127 11.68
20120127 22.475 20120127 23.46
20120128 10.197 20120128 11.239
20120128 22.095 20120128 22.905
20120129 9.628 20120129 10.777
20120129 21.361 20120129 22.646
20120130 9.307 20120130 10.424
20120130 20.844 20120130 22.197
20120131 8.818 20120131 9.903
20120131 20.765 20120131 21.665
20120201 8.297 20120201 9.503
20120201 20.108 20120201 21.295
20120202 7.769 20120202 9.06
20120202 19.903 20120202 20.838
20120203 7.681 20120203 8.599
20120203 19.144 20120203 20.397
20120204 6.98 20120204 8.152
20120204 19.073 20120204 19.945
20120205 6.922 20120205 7.709
20120205 18.099 20120205 19.546
20120206 5.821 20120206 7.305
20120206 18.192 20120206 19.054
20120207 5.993 20120207 6.769
20120207 17.816 20120207 18.589
20120208 5.667 20120208 6.383
20120208 16.929 20120208 18.174
20120209 4.346 20120209 6.041
20120209 16.122 20120209 17.847
20120210 3.946 20120210 5.57
20120210 15.625 20120210 17.379
20120211 3.294 20120211 5.118
20120211 15.293 20120211 16.909
20120212 2.865 20120212 4.698
20120212 14.713 20120212 16.476
20120213 2.401 20120213 4.25
20120213 13.895 20120213 16.061
20120214 2.028 20120214 3.848
20120214 14.15 20120214 15.568
20120215 1.587 20120215 3.372
20120215 13.182 20120215 15.14
20120216 1.066 20120216 2.912
20120216 12.845 20120216 14.748
20120217 0.647 20120217 2.539
20120217 12.106 20120217 14.311
20120217 23.991 20120218 2.101
20120218 11.84 20120218 13.885
20120218 23.947 20120219 1.642
20120219 11.682 20120219 13.488
20120219 23.424 20120220 1.265
20120220 11.229 20120220 13.04
20120220 23.23 20120221 0.817
20120221 10.912 20120221 12.631
20120221 22.831 20120222 0.401
20120222 10.576 20120222 12.238
20120222 22.351 20120223 0.013
20120223 9.92 20120223 11.813
20120223 22.078 20120223 23.574
20120224 9.864 20120224 11.356
20120224 22.021 20120224 23.134
20120225 9.692 20120225 10.85
20120225 21.564 20120225 22.722
20120226 9.181 20120226 10.451
20120226 21.118 20120226 22.318
20120227 8.749 20120227 10.113
20120227 20.612 20120227 21.881
20120228 8.608 20120228 9.748
20120228 20.497 20120228 21.467
20120229 8.382 20120229 9.221
20120229 20.201 20120229 21.004
20120301 8.07 20120301 8.826
20120301 19.64 20120301 20.77
20120302 7.586 20120302 8.398
20120302 19.199 20120302 20.203
20120303 7.192 20120303 7.872
20120303 18.823 20120303 19.406
20120304 6.353 20120304 7.168
20120304 17.986 20120304 18.708
20120305 5.588 20120305 6.437
20120305 17.237 20120305 18.079
20120306 4.726 20120306 5.737
20120306 16.393 20120306 17.242
20120307 4.066 20120307 4.628
20120307 15.654 20120307 16.674
20120308 3.214 20120308 4.361
20120308 14.879 20120308 15.889
20120309 2.498 20120309 3.425
20120309 14.105 20120309 15.12
20120310 1.699 20120310 2.685
20120310 13.373 20120310 14.284
20120311 0.975 20120311 1.921
20120311 12.634 20120311 13.442
20120312 0.188 20120312 1.146
20120312 11.778 20120312 12.732
20120312 23.387 20120313 0.443
20120313 11.016 20120313 11.933
20120313 22.627 20120313 23.631
20120314 10.255 20120314 11.131
20120314 21.759 20120314 22.94
20120315 9.349 20120315 10.557
20120315 21.084 20120315 22.181
20120316 8.627 20120316 9.863
20120316 20.257 20120316 21.578
20120317 7.867 20120317 9.078
20120317 19.46 20120317 20.775
20120318 7.057 20120318 8.33
20120318 18.521 20120318 19.938
20120319 6.275 20120319 7.583
20120319 17.822 20120319 19.216
20120320 5.505 20120320 6.822
20120320 17.098 20120320 18.403
20120321 4.775 20120321 5.959
20120321 16.319 20120321 17.696
20120322 4.014 20120322 5.093
20120322 15.51 20120322 16.822
20120323 3.059 20120323 4.49
20120323 14.668 20120323 16.176
20120324 2.357 20120324 3.688
20120324 13.975 20120324 15.173
20120325 1.566 20120325 2.864
20120325 13.133 20120325 14.434
20120326 0.795 20120326 2.119
20120326 12.345 20120326 13.588
20120326 23.964 20120327 1.415
20120327 11.596 20120327 12.822
20120327 23.083 20120328 0.547
20120328 10.758 20120328 12.282
20120328 22.458 20120328 23.675
20120329 9.899 20120329 11.269
20120329 21.526 20120329 23.072
20120330 9.096 20120330 10.505
20120330 20.785 20120330 22.241
20120331 8.318 20120331 9.687
20120331 19.862 20120331 21.076
20120401 7.505 20120401 9.018
20120401 19.184 20120401 20.349
20120402 6.79 20120402 7.981
20120402 18.343 20120402 19.535
20120403 5.956 20120403 7.117
20120403 17.623 20120403 18.746
20120404 5.228 20120404 6.404
20120404 16.807 20120404 17.941
20120405 4.363 20120405 5.671
20120405 15.967 20120405 17.164
20120406 3.548 20120406 4.709
20120406 15.205 20120406 16.3
20120407 2.823 20120407 4.069
20120407 14.436 20120407 15.561
20120408 2.081 20120408 3.089
20120408 13.638 20120408 14.688
20120409 1.189 20120409 2.413
20120409 12.931 20120409 13.74
20120410 0.547 20120410 1.459
20120410 12.068 20120410 12.993
20120410 23.684 20120411 0.713
20120411 11.143 20120411 12.296
20120411 22.792 20120411 23.779
20120412 10.281 20120412 11.435
20120412 22.025 20120412 22.978
20120413 9.637 20120413 10.597
20120413 21.229 20120413 22.132
20120414 8.838 20120414 9.781
20120414 20.414 20120414 21.334
20120415 8.025 20120415 8.943
20120415 19.598 20120415 20.543
20120416 7.178 20120416 8.189
20120417 3.871 20120417 4.907
20120417 12.809 20120417 13.96
20120417 21.97 20120417 22.988
20120418 7.112 20120418 7.944
20120418 16.149 20120418 17.148
20120419 1.242 20120419 2.238
20120419 10.385 20120419 11.258
20120419 19.43 20120419 20.403
20120420 4.389 20120420 5.482
20120420 13.298 20120420 14.585
20120420 22.464 20120420 23.798
20120421 6.603 20120421 7.632
20120421 14.518 20120421 15.591
20120421 22.53 20120421 23.552
20120422 6.161 20120422 7.728
20120422 14.396 20120422 15.71
20120422 22.529 20120422 23.799
20120423 6.209 20120423 7.628
20120423 14.521 20120423 15.613
20120423 22.46 20120423 23.591
20120424 6.491 20120424 7.591
20120424 14.553 20120424 15.57
20120424 22.5 20120424 23.593
20120425 6.653 20120425 7.591
20120425 14.402 20120425 15.59
20120425 22.453 20120425 23.6
20120426 6.464 20120426 7.603
20120426 14.428 20120426 15.554
20120426 22.351 20120426 23.657
20120427 6.36 20120427 7.569
20120427 14.402 20120427 15.505
20120427 22.44 20120427 23.536
20120428 6.441 20120428 7.577
20120428 14.33 20120428 15.538
20120428 22.302 20120428 23.525
20120429 6.39 20120429 7.55
20120429 14.415 20120429 15.574
20120429 22.468 20120429 23.581
20120430 6.354 20120430 7.52
20120430 14.225 20120430 15.453
20120430 22.128 20120430 23.486
20120501 6.478 20120501 7.43
20120501 14.077 20120501 15.534
20120501 22.226 20120501 23.562
20120502 6.039 20120502 7.601
20120502 13.984 20120502 15.595
20120502 22.013 20120502 23.579
20120503 5.745 20120503 7.601
20120503 14.143 20120503 15.542
20120503 22.054 20120503 23.499
20120504 6.035 20120504 7.493
20120504 14.025 20120504 15.515
20120504 21.958 20120504 23.509
20120505 5.892 20120505 7.518
20120505 14.027 20120505 15.507
20120505 22.016 20120505 23.494
20120506 6.105 20120506 7.514
20120506 13.91 20120506 15.418
20120506 21.857 20120506 23.492
20120507 5.973 20120507 7.506
20120507 13.716 20120507 15.518
20120507 21.68 20120507 23.603
20120508 5.88 20120508 7.321
20120508 13.6 20120508 15.462
20120508 21.826 20120508 23.368
20120509 5.894 20120509 7.553
20120509 13.681 20120509 15.668
20120509 21.456 20120509 23.623
20120510 5.511 20120510 7.416
20120510 13.461 20120510 15.47
20120510 21.685 20120510 23.485
20120511 5.688 20120511 7.45
20120511 13.709 20120511 15.49
20120511 21.708 20120511 23.347
20120512 5.88 20120512 7.417
20120512 13.596 20120512 15.503
20120512 21.789 20120512 23.474
20120513 5.522 20120513 7.475
20120513 13.689 20120513 15.495
20120513 21.633 20120513 23.527
20120514 5.694 20120514 7.451
20120514 13.742 20120514 15.444
20120514 21.663 20120514 23.439
20120515 5.682 20120515 7.463
20120515 13.796 20120515 15.441
20120515 21.659 20120515 23.468
20120516 5.732 20120516 7.45
20120516 13.861 20120516 15.455
20120516 21.839 20120516 23.446
20120517 5.589 20120517 7.437
20120517 14.13 20120517 15.434
20120517 21.831 20120517 23.438
20120518 5.883 20120518 7.463
20120518 14.001 20120518 15.446
20120518 21.723 20120518 23.488
20120519 6.029 20120519 7.461
20120519 14.062 20120519 15.428
20120519 22.038 20120519 23.455
20120520 6.155 20120520 7.461
20120520 14.083 20120520 15.455
20120520 21.988 20120520 23.466
20120521 6.142 20120521 7.487
20120521 14.189 20120521 15.48
20120521 22.034 20120521 23.524
20120522 6.31 20120522 7.541
20120522 14.148 20120522 15.515
